Fund Name,AUM,5 Year return,Logo URL
SBI Large Cap Direct Plan Growth,52420.60863907,19.78,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
HDFC Balanced Advantage Fund Direct Growth,101079.6042,24.99,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Groww Gold ETF FOF Direct Growth,38.97043342,NA,https://assets-netstorage.groww.in/mf-assets/logos/indiabulls_groww.png
ICICI Prudential Technology Direct Plan Growth,14733.53628687,19.76,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
SBI Silver ETF FoF Direct Growth,579.4765,NA,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
JioBlackRock Overnight Fund Direct Growth,1431.64993666,NA,https://assets-netstorage.groww.in/mf-assets/logos/jioblackrock_groww.png
ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund Direct Growth,6161.8095087,20.5,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Quant Mid Cap Fund Direct Growth,8318.9628,28.41,https://assets-netstorage.groww.in/mf-assets/logos/escorts_groww.png
SBI Mid Cap Direct Plan Growth,22011.53075767,25.78,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
SBI ELSS Tax Saver Fund Direct Growth,29937.3973,25.63,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
JioBlackRock Nifty Next 50 Index Fund Direct Growth,68.6925871,NA,https://assets-netstorage.groww.in/mf-assets/logos/jioblackrock_groww.png
HDFC Infrastructure Fund Direct Growth,2483.3615,35.43,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Navi Nifty 50 Index Fund Direct Growth,3436.135638,NA,https://assets-netstorage.groww.in/mf-assets/logos/peerless_groww.png
Kotak Midcap Fund Direct Growth,56988.31847719,28.47,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
Quant ELSS Tax Saver Fund Direct Growth,11396.2106,27.94,https://assets-netstorage.groww.in/mf-assets/logos/escorts_groww.png
Invesco India Mid Cap Fund Direct Growth,8062.3141,28.64,https://assets-netstorage.groww.in/mf-assets/logos/invesco_groww.png
ICICI Prudential Multi Asset Fund Direct Growth,64770.24154652,25.76,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Kotak Gold Fund Direct Growth,3506.1162,16.69,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
Nippon India Nifty 500 Momentum 50 Index Fund Direct Growth,944.0188,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Franklin India Opportunities Direct Fund Growth,7509.39903857,29.77,https://assets-netstorage.groww.in/mf-assets/logos/franklin_groww.png
Nippon India Silver ETF FoF Direct Growth,1209.7603,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
SBI Magnum Children's Benefit Fund Investment Plan Direct Growth,4175.561,NA,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Motilal Oswal Nifty Microcap 250 Index Fund Direct Growth,2567.3948,NA,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
ICICI Prudential Silver ETF FoF Direct Growth,2160.26434737,NA,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
ICICI Prudential Nifty Next 50 Index Direct Growth,7649.86113905,20.56,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Aditya Birla Sun Life Liquid Fund Direct Growth,49720.6037,5.77,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
Edelweiss US Technology Equity FoF Direct Growth,3245.5487,19.27,https://assets-netstorage.groww.in/mf-assets/logos/edelweiss_groww.png
SBI Healthcare Opportunities Fund Direct Plan Growth,3963.3753,20.02,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Groww Nifty Smallcap 250 Index Fund Direct Growth,114.97681552,NA,https://assets-netstorage.groww.in/mf-assets/logos/indiabulls_groww.png
ICICI Prudential Commodities Fund Direct Growth,2919.29523639,33.22,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
DSP Nifty Next 50 Index Fund Direct Growth,1041.9516,20.74,https://assets-netstorage.groww.in/mf-assets/logos/dsp_groww.png
Motilal Oswal Nifty 500 Momentum 50 Index Fund Direct Growth,707.956,NA,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
Canara Robeco Small Cap Fund Direct Growth,12587.654,28.66,https://assets-netstorage.groww.in/mf-assets/logos/canara_groww.png
JioBlackRock Nifty 8 13 yr G Sec Index Fund Direct Growth,34.97401604,NA,https://assets-netstorage.groww.in/mf-assets/logos/jioblackrock_groww.png
Edelweiss Mid Cap Direct Plan Growth,11297.3263,30.18,https://assets-netstorage.groww.in/mf-assets/logos/edelweiss_groww.png
Axis Midcap Direct Plan Growth,31056.044199,22.73,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
Parag Parikh ELSS Tax Saver Fund Direct Growth,5524.4856,21.85,https://assets-netstorage.groww.in/mf-assets/logos/ppfas_groww.png
Motilal Oswal Flexi Cap Fund Direct Growth,13679.3067,19.95,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
HDFC Pharma And Healthcare Fund Direct Growth,1909.3005,NA,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Mirae Asset ELSS Tax Saver Fund Direct Growth,25562.2669,22.02,https://assets-netstorage.groww.in/mf-assets/logos/mirae_groww.png
ICICI Prudential BHARAT 22 FOF Direct Growth,2265.09472549,35.14,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
