Fund Name,AUM,5 Year return,Logo URL
ICICI Prudential Nifty IT Index Fund Direct Growth,506.22452385,NA,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Nippon India Credit Risk Fund Direct Growth,990.4965,9.49,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
DSP Gold ETF FoF Direct Growth,134.9818,NA,https://assets-netstorage.groww.in/mf-assets/logos/dsp_groww.png
ICICI Prudential Nifty Pharma Index Fund Direct Growth,89.11599786,NA,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
ICICI Prudential Innovation Fund Direct Growth,7125.31554118,NA,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Axis Consumption Fund Direct Growth,4083.886901,NA,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
Motilal Oswal Nifty MidSmall IT and Telecom Index Fund Direct Growth,28.3302,NA,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
DSP Income Plus Arbitrage Omni FoF Direct Growth,1662.0147,8.33,https://assets-netstorage.groww.in/mf-assets/logos/dsp_groww.png
Nippon India Nifty Bank Index Fund Direct Growth,157.3953,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Aditya Birla Sun Life Flexi Cap Fund Direct Growth,22962.4343,20.96,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
Tata Nifty Midcap 150 Index Fund Direct Growth,110.45799636,NA,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
Franklin India NSE Nifty 50 Index Direct Growth,737.21600022,17.87,https://assets-netstorage.groww.in/mf-assets/logos/franklin_groww.png
Mahindra Manulife Mid Cap Fund Direct Growth,3904.6249,28.48,https://assets-netstorage.groww.in/mf-assets/logos/mahindra_groww.png
DSP Large Cap Fund Direct Growth,6397.5801,19.57,https://assets-netstorage.groww.in/mf-assets/logos/dsp_groww.png
SBI Arbitrage Opportunities Fund Direct Growth,41551.7763,6.34,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Bandhan Midcap Fund Direct Growth,1818.3134,NA,https://assets-netstorage.groww.in/mf-assets/logos/idfc_groww.png
HDFC NIFTY Realty Index Fund Direct Growth,114.8959,NA,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Canara Robeco Mid Cap Fund Direct Growth,3179.5264,NA,https://assets-netstorage.groww.in/mf-assets/logos/canara_groww.png
ICICI Prudential Business Cycle Fund Direct Growth,13642.91559559,NA,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Bank of India Mid Cap Fund Direct Growth,630.9937,NA,https://assets-netstorage.groww.in/mf-assets/logos/boi_groww.png
Old Bridge Focused Fund Direct Growth,1941.0889,NA,https://assets-netstorage.groww.in/mf-assets/logos/old_groww.png
Zerodha ELSS Tax Saver Nifty Large Midcap 250 Index Fund Direct Growth,214.9821,NA,https://assets-netstorage.groww.in/mf-assets/logos/zerodha_groww.png
Nippon India Aggressive Hybrid Fund Direct Growth,3894.4524,20.23,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
HDFC Long Duration Debt Fund Direct Growth,5529.684,NA,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Axis Nifty500 Momentum 50 Index Fund Direct Growth,88.517603,NA,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
Quant Momentum Fund Direct Growth,1533.9615,NA,https://assets-netstorage.groww.in/mf-assets/logos/escorts_groww.png
Angel One Gold ETF FoF Direct Growth,NA,NA,https://assets-netstorage.groww.in/mf-assets/logos/angel_groww.png
Motilal Oswal Digital India Fund Direct Growth,835.9533,NA,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
Groww Nifty Next 50 Index Fund Direct Growth,5.21050585,NA,https://assets-netstorage.groww.in/mf-assets/logos/indiabulls_groww.png
SBI Retirement Benefit Fund Aggressive Plan Direct Growth,2949.3353,NA,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Aditya Birla Sun Life Short Term Direct Fund Direct Growth,10648.3542862,6.99,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
JM Value Fund Direct Plan Growth,1019.2212537,27.17,https://assets-netstorage.groww.in/mf-assets/logos/jm_groww.png
ICICI Prudential BSE Sensex Index Fund Direct Growth,1866.02884039,17.12,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Bank of India Short Term Income Fund Direct Growth,270.9868,10.64,https://assets-netstorage.groww.in/mf-assets/logos/boi_groww.png
Groww Nifty 200 ETF FoF Direct Growth,5.01127814,NA,https://assets-netstorage.groww.in/mf-assets/logos/indiabulls_groww.png
Nippon India Nifty 50 Value 20 Index Fund Direct Growth,1004.4914,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Nippon India Nifty 500 Equal Weight Index Fund Direct Growth,429.1331,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
ICICI Prudential Nifty LargeMidcap 250 Index Fund Direct Growth,226.92776001,NA,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Motilal Oswal Innovation Opportunities Fund Direct Growth,325.3536,NA,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
Navi Nifty Midcap 150 Index Fund Direct Growth,313.363008,NA,https://assets-netstorage.groww.in/mf-assets/logos/peerless_groww.png
Canara Robeco Flexi Cap Fund Direct Growth,13301.4731,20.02,https://assets-netstorage.groww.in/mf-assets/logos/canara_groww.png
HSBC Global Emerging Markets Direct Plan Growth,107.6771,9.03,https://assets-netstorage.groww.in/mf-assets/logos/hsbc_groww.png
HDFC Dividend Yield Fund Direct Growth,6328.8111,NA,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Kotak Nifty Next 50 Index Fund Direct Growth,708.2294,NA,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
UTI Flexi Cap Fund Direct Growth,25508.9751,16.24,https://assets-netstorage.groww.in/mf-assets/logos/uti_groww.png
Quantum Small Cap Fund Direct Growth,153.7514,NA,https://assets-netstorage.groww.in/mf-assets/logos/quantum_groww.png
Mirae Asset Great Consumer Fund Direct Growth,4552.4935,23.51,https://assets-netstorage.groww.in/mf-assets/logos/mirae_groww.png
Quant Commodities Fund Direct Growth,343.3941,NA,https://assets-netstorage.groww.in/mf-assets/logos/escorts_groww.png
ICICI Prudential FMCG Direct Growth,2072.71972902,16.16,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Tata Banking and Financial Services Fund Direct Growth,2819.02400088,22.51,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
Nippon India MNC Fund Direct Growth,381.6117,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
HSBC Midcap Fund Direct Growth,11749.1273,24.35,https://assets-netstorage.groww.in/mf-assets/logos/hsbc_groww.png
ICICI Prudential PSU Equity Fund Direct Growth,1870.32615878,NA,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
360 ONE Focused Fund Direct Growth,7264.95385012,21.64,https://assets-netstorage.groww.in/mf-assets/logos/iifl_groww.png
ICICI Prudential Regular Savings Fund Direct Growth,3235.11798521,10.82,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Aditya Birla Sun Life Pharma & Healthcare Fund Direct Growth,845.302,16.44,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
SBI Overnight Fund Direct Growth,25312.3258,5.26,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
SBI Corporate Bond Fund Direct Growth,25301.3848,6.36,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Kotak Pioneer Fund Direct Growth,3052.6052,24.97,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
ICICI Prudential Gilt Fund Direct Plan Growth,8550.70437288,7.02,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
ICICI Prudential Active Momentum Fund Direct Growth,1222.60538463,NA,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Tata Nifty India Tourism Index Fund Direct Growth,340.09245771,NA,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
SBI Equity Savings Fund Direct Growth,5702.8749,12.34,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
ICICI Prudential Midcap Direct Plan Growth,6492.09549057,26.86,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Nippon India Innovation Fund Direct Growth,2767.4287,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Groww ELSS Tax Saver Fund Direct Growth,51.43356746,18.58,https://assets-netstorage.groww.in/mf-assets/logos/indiabulls_groww.png
SBI BSE PSU Bank Index Fund Direct Growth,39.6195,NA,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
ITI Pharma and Healthcare Fund Direct Growth,226.8892,NA,https://assets-netstorage.groww.in/mf-assets/logos/iti_groww.png
Axis Nifty IT Index Fund Direct Growth,127.696998,NA,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
Tata Nifty Auto Index Fund Direct Growth,87.56945511,NA,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
ICICI Prudential Children's Fund Direct Growth,1373.0024466,20.05,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Bajaj Finserv Balanced Advantage Fund Direct Growth,1278.113603,NA,https://assets-netstorage.groww.in/mf-assets/logos/bajaj_groww.png
PGIM India Global Equity Opportunities FoF Direct Growth,1512.3686,11.07,https://assets-netstorage.groww.in/mf-assets/logos/dhfl_groww.png
Bank of India Manufacturing & Infrastructure Fund Direct Growth,597.85,29.63,https://assets-netstorage.groww.in/mf-assets/logos/boi_groww.png
PGIM India Flexi Cap Fund Direct Growth,6214.7867,20.35,https://assets-netstorage.groww.in/mf-assets/logos/dhfl_groww.png
Tata India Consumer Fund Direct Growth,2518.38783792,21.59,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
ICICI Prudential Transportation and Logistics Fund Direct Growth,3197.2367608,NA,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Aditya Birla Sun Life Corporate Bond Fund Direct Growth,27803.16056233,6.66,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
Navi Nifty Smallcap250 Momentum Quality 100 Index Fund Direct Growth,20.238255,NA,https://assets-netstorage.groww.in/mf-assets/logos/peerless_groww.png
Tata Flexi Cap Fund Direct Growth,3393.82555756,18.38,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
Aditya Birla Sun Life Large Cap Direct Fund Growth,29866.7317498,20.21,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
Kotak Contra Fund Direct Growth,4493.3597,25.04,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
Nippon India Banking & Financial Services Fund Direct Growth,6989.7017,26.95,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Direct Growth,241.963,NA,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
Tata Nifty Realty Index Fund Direct Growth,78.12647988,NA,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
Bandhan Innovation Fund Direct Growth,1714.6407,NA,https://assets-netstorage.groww.in/mf-assets/logos/idfc_groww.png
Canara Robeco Multi Cap Fund Direct Growth,4554.8131,NA,https://assets-netstorage.groww.in/mf-assets/logos/canara_groww.png
Bandhan Nifty Smallcap 250 Index Fund Direct Growth,58.9399,NA,https://assets-netstorage.groww.in/mf-assets/logos/idfc_groww.png
WhiteOak Capital Multi Cap Fund Direct Growth,2261.56332237,NA,https://assets-netstorage.groww.in/mf-assets/logos/whiteoak_groww.png
Franklin India Multi Asset Allocation Fund Direct Growth,1964.83229219,NA,https://assets-netstorage.groww.in/mf-assets/logos/franklin_groww.png
Zerodha Overnight Fund Direct Growth,70.5748,NA,https://assets-netstorage.groww.in/mf-assets/logos/zerodha_groww.png
Nippon India Balanced Advantage Fund Direct Growth,9317.08147204,15.23,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Mahindra Manulife Multi Cap Fund Direct Growth,5622.3189,26.88,https://assets-netstorage.groww.in/mf-assets/logos/mahindra_groww.png
SBI Magnum Medium Duration Fund Direct Growth,6515.9752,6.9,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Nippon India Nifty 500 Quality 50 Index Fund Direct Growth,34.0177,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Tata India Innovation Fund Direct Growth,1725.75601425,NA,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
Groww BSE Power ETF FOF Direct Growth,11.76494056,NA,https://assets-netstorage.groww.in/mf-assets/logos/indiabulls_groww.png
Franklin India Income Plus Arbitrage Active FoF Direct Growth,69.28971115,16.64,https://assets-netstorage.groww.in/mf-assets/logos/franklin_groww.png
ICICI Prudential India Equity FOF Direct Growth,218.81178527,26.73,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Bandhan Value Fund Direct Growth,9840.6040879,27.96,https://assets-netstorage.groww.in/mf-assets/logos/idfc_groww.png
Tata Nifty India Digital ETF FoF Direct Growth,123.37324408,NA,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
Nippon India Active Momentum Fund Direct Growth,233.2607,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Mirae Asset Flexi Cap Fund Direct Growth,3012.1877,NA,https://assets-netstorage.groww.in/mf-assets/logos/mirae_groww.png
Edelweiss Multi Cap Fund Direct Growth,2883.4768,NA,https://assets-netstorage.groww.in/mf-assets/logos/edelweiss_groww.png
DSP Multicap Fund Direct Growth,2453.2875,NA,https://assets-netstorage.groww.in/mf-assets/logos/dsp_groww.png
Edelweiss Technology Fund Direct Growth,660.2156,NA,https://assets-netstorage.groww.in/mf-assets/logos/edelweiss_groww.png
Motilal Oswal Nifty 50 Index Fund Direct Growth,738.3359,18.05,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
Mirae Asset Gold ETF FoF Direct Growth,126.3036,NA,https://assets-netstorage.groww.in/mf-assets/logos/mirae_groww.png
Nippon India Conservative Hybrid Fund Direct Growth,893.8755,9.8,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Quant Value Fund Direct Growth,1671.6697,NA,https://assets-netstorage.groww.in/mf-assets/logos/escorts_groww.png
Nippon India Diversified Equity Flexicap Passive FoF Direct Growth,227.1087,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
ICICI Prudential ELSS Tax Saver Direct Plan Growth,14345.54508694,22.17,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Axis Short Duration Fund Direct Growth,12129.17083666,6.79,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
UTI Large & Mid Cap Fund Direct Growth,4861.0841,25.92,https://assets-netstorage.groww.in/mf-assets/logos/uti_groww.png
Tata Nifty MidSmall Healthcare Index Fund Direct Growth,156.68571058,NA,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
ICICI Prudential Bharat Consumption Fund Direct Growth,3260.82625981,21.98,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
HDFC BSE 500 Index Fund Direct Growth,229.7031,NA,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Aditya Birla Sun Life Global Excellence Equity FoF Direct Growth,222.0003,16.05,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
Bandhan Multi Factor Fund Direct Growth,505.4285,NA,https://assets-netstorage.groww.in/mf-assets/logos/idfc_groww.png
Kotak Aggressive Hybrid Fund Direct Growth,7853.4238,20.84,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
Quantum Liquid Fund Direct Growth,540.5544,5.47,https://assets-netstorage.groww.in/mf-assets/logos/quantum_groww.png
Bajaj Finserv Large and Mid Cap Fund Direct Growth,2091.2516,NA,https://assets-netstorage.groww.in/mf-assets/logos/bajaj_groww.png
Invesco India Invesco Pan European Equity FoF Direct Growth,79.4398,16.68,https://assets-netstorage.groww.in/mf-assets/logos/invesco_groww.png
ICICI Prudential Equity Savings Fund Direct Growth,15863.39929641,10.24,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Helios Mid Cap Fund Direct Growth,243.7127,NA,https://assets-netstorage.groww.in/mf-assets/logos/helios_groww.png
HSBC Infrastructure Fund Direct Growth,2278.0605,30.67,https://assets-netstorage.groww.in/mf-assets/logos/hsbc_groww.png
Baroda BNP Paribas Gold ETF FoF Direct Growth,55.2133,NA,https://assets-netstorage.groww.in/mf-assets/logos/barodabnpparibasmutualfund_groww.png
ICICI Prudential Medium Term Bond Fund Direct Plan Growth,5704.45548635,7.62,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Navi Nifty IT Index Fund Direct Growth,24.027628,NA,https://assets-netstorage.groww.in/mf-assets/logos/peerless_groww.png
Axis Global Innovation FoF Direct Growth,567.3805,NA,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
Axis Services Opportunities Fund Direct Growth,1992.306099,NA,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
Kotak Global Emerging Market Fund Direct Growth,106.2867,8.21,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
ICICI Prudential Nifty50 Value 20 Index Fund Direct Growth,106.22286399,NA,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Motilal Oswal Services Fund Direct Growth,47.9283,NA,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
HSBC Multi Cap Fund Direct Growth,4942.6623,NA,https://assets-netstorage.groww.in/mf-assets/logos/hsbc_groww.png
Edelweiss Recently Listed IPO Fund Direct Growth,924.38250247,21.28,https://assets-netstorage.groww.in/mf-assets/logos/edelweiss_groww.png
HDFC Floating Rate Debt Fund Direct Plan Growth,15753.7221,6.9,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Sundaram Small Cap Fund Direct Growth,3282.1962635,28.7,https://assets-netstorage.groww.in/mf-assets/logos/sundaram_groww.png
Axis Nifty Midcap 50 Index Fund Direct Growth,474.273603,NA,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
Bajaj Finserv Multi Cap Fund Direct Growth,877.242101,NA,https://assets-netstorage.groww.in/mf-assets/logos/bajaj_groww.png
UTI Mid Cap Fund Direct Growth,11668.3294,22.82,https://assets-netstorage.groww.in/mf-assets/logos/uti_groww.png
SBI Nifty200 Quality 30 Index Fund Direct Growth,322.2944,NA,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Kotak Multi Asset Omni FoF Direct Growth,1877.0766,20.71,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
Bandhan Multi Asset Allocation Fund Direct Growth,2124.7532,NA,https://assets-netstorage.groww.in/mf-assets/logos/idfc_groww.png
Invesco India Multicap Fund Direct Growth,4042.8172,23.25,https://assets-netstorage.groww.in/mf-assets/logos/invesco_groww.png
Tata Large Cap Direct Plan Growth,2615.27456678,20.74,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
Axis Nifty 500 Index Fund Direct Growth,287.368207,NA,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
ICICI Prudential Quality Fund Direct Growth,2233.77806036,NA,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
SBI Magnum Constant Maturity Fund Direct Growth,1852.7959,6.0,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Quant Overnight Fund Direct Growth,111.5848,NA,https://assets-netstorage.groww.in/mf-assets/logos/escorts_groww.png
Kotak Nifty Smallcap 250 Index Fund Direct Growth,32.5183,NA,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
Aditya Birla Sun Life Quant Fund Direct Growth,2358.8217,NA,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
SBI Retirement Benefit Fund Aggressive Hybrid Plan Direct Growth,1596.8945,NA,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Tata Multi Asset Allocation Fund Direct Growth,4047.69221918,18.85,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
Edelweiss NIFTY Large Mid Cap 250 Index Fund Direct Growth,298.8007,NA,https://assets-netstorage.groww.in/mf-assets/logos/edelweiss_groww.png
LIC MF Ultra Short Duration Fund Direct Growth,257.7878,5.96,https://assets-netstorage.groww.in/mf-assets/logos/lic_groww.png
Nippon India Nifty India Manufacturing Index Fund Direct Growth,35.9025,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
HDFC Ultra Short Term Fund Direct Growth,18004.9432,6.13,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Quant Manufacturing Fund Direct Growth,769.0117,NA,https://assets-netstorage.groww.in/mf-assets/logos/escorts_groww.png
Aditya Birla Sun Life Arbitrage Fund Direct Growth,23581.19613954,6.35,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
Axis Nifty 100 Index Fund Direct Growth,1903.337703,18.31,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
Kotak Equity Savings Fund Direct Growth,8486.86816317,12.78,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
Sundaram Aggressive Hybrid Fund Direct Growth,6679.68595909,17.41,https://assets-netstorage.groww.in/mf-assets/logos/sundaram_groww.png
Quant Large Cap Fund Direct Growth,2657.5482,NA,https://assets-netstorage.groww.in/mf-assets/logos/escorts_groww.png
Tata Nifty500 Multicap Infrastructure 50:30:20 Index Fund Direct Growth,76.80258076,NA,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
Quant Focused Fund Direct Growth,976.8399,23.43,https://assets-netstorage.groww.in/mf-assets/logos/escorts_groww.png
Groww Nifty India Internet ETF FoF Direct Growth,8.04119737,NA,https://assets-netstorage.groww.in/mf-assets/logos/indiabulls_groww.png
HDFC Nifty India Digital Index Fund Direct Growth,192.6529,NA,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Franklin India Technology Fund Direct Growth,1882.1398937,19.69,https://assets-netstorage.groww.in/mf-assets/logos/franklin_groww.png
Nippon India Medium Duration Fund Direct Growth,110.2019,9.69,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Invesco India Technology Fund Direct Growth,329.3487,NA,https://assets-netstorage.groww.in/mf-assets/logos/invesco_groww.png
Union Diversified Equity All Cap Active FoF Direct Growth,NA,NA,https://assets-netstorage.groww.in/mf-assets/logos/union_groww.png
Kotak Energy Opportunities Fund Direct Growth,208.1675,NA,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
Tata Balanced Advantage Fund Direct Growth,9825.94009376,14.08,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
HDFC Value Fund Direct Plan Growth,7178.8296,23.41,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Motilal Oswal Nifty MidSmall India Consumption Index Fund Direct Growth,16.4019,NA,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
Motilal Oswal Asset Allocation Passive FoF Aggressive Direct Growth,95.3297,NA,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
NJ Flexi Cap Fund Direct Growth,2402.340952,NA,https://assets-netstorage.groww.in/mf-assets/logos/nj_groww.png
Nippon India Value Fund Direct Growth,8584.0026,26.56,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Baroda BNP Paribas Multi Cap Fund Direct Growth,2923.051,24.45,https://assets-netstorage.groww.in/mf-assets/logos/barodabnpparibasmutualfund_groww.png
SBI Magnum Low Duration Fund Direct Plan Growth,15622.3469,6.2,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
SBI Long Duration Fund Direct Growth,2542.8015,NA,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Canara Robeco Multi Asset Allocation Fund Direct Growth,973.01670003,NA,https://assets-netstorage.groww.in/mf-assets/logos/canara_groww.png
Nippon India Nifty Realty Index Fund Direct Growth,22.874,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
LIC MF Multi Asset Allocation Fund Direct Growth,673.506,NA,https://assets-netstorage.groww.in/mf-assets/logos/lic_groww.png
SBI Nifty50 Equal Weight Index Fund Direct Growth,1016.6015,NA,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Nippon India Multi Asset Active FoF Direct Growth,907.8809,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Baroda BNP Paribas Business Conglomerates Fund Direct Growth,NA,NA,https://assets-netstorage.groww.in/mf-assets/logos/barodabnpparibasmutualfund_groww.png
ICICI Prudential Equity Arbitrage Direct Growth,32592.70163076,6.27,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
DSP Flexi Cap Fund Direct Plan Growth,11679.269,21.48,https://assets-netstorage.groww.in/mf-assets/logos/dsp_groww.png
Nippon India Index Fund BSE Sensex Plan Direct Growth,898.5976,17.2,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Kotak Technology Fund Direct Growth,590.2791,NA,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund Direct Growth,163.3761,NA,https://assets-netstorage.groww.in/mf-assets/logos/edelweiss_groww.png
ICICI Prudential Nifty Auto Index Fund Direct Growth,150.43080322,NA,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Aditya Birla Sun Life Transportation and Logistics Fund Direct Growth,1534.9791,NA,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
SBI Banking and PSU Fund Direct Growth,4064.8084,6.19,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Mirae Asset Healthcare Fund Direct Growth,2795.843,18.55,https://assets-netstorage.groww.in/mf-assets/logos/mirae_groww.png
Kotak Active Momentum Fund Direct Growth,1389.5211,NA,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF FoF Direct Growth,230.8398,NA,https://assets-netstorage.groww.in/mf-assets/logos/mirae_groww.png
Edelweiss Flexi Cap Fund Direct Growth,2777.2657,23.6,https://assets-netstorage.groww.in/mf-assets/logos/edelweiss_groww.png
HDFC Medium Term Debt Fund Direct Growth,3929.4623,7.16,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
ICICI Prudential Asset Allocator Fund (FOF) Direct Growth,27257.73545547,16.78,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Franklin India Focused Equity Fund Direct Growth,12263.29486317,25.96,https://assets-netstorage.groww.in/mf-assets/logos/franklin_groww.png
ICICI Prudential Banking and Financial Services Direct Plan Growth,9687.67709597,22.6,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Tata Retirement Savings Fund Progressive Plan Direct Growth,2047.44397222,17.1,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
Axis Nifty500 Value 50 Index Fund DirectGrowth,87.739701,NA,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
Aditya Birla Sun Life ELSS Tax Saver Direct Growth,15216.1021,14.51,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
HDFC Non Cyclical Consumer Fund Direct Growth,1046.2265,NA,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Motilal Oswal Nifty Next 50 Index Fund Direct Growth,356.3562,20.66,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
Nippon India BSE Sensex Next 30 Index Fund Direct Growth,35.998,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
PGIM India Global Select Real Estate Securities FoF Direct Growth,44.9472,NA,https://assets-netstorage.groww.in/mf-assets/logos/dhfl_groww.png
